,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1655,RHTX,SMEBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2009-12-03,002313.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,日海通讯,CS
1656,SFGF,MainBoard,0000-00-00,XSHG,C38,电气机械和器材制造业,2010-12-31,601126.XSHG,100.0,Industrials,工业,Normal,Active,四方股份,CS
1657,HBGF,SMEBoard,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,2008-05-20,002237.XSHE,100.0,Materials,原材料,Normal,Active,恒邦股份,CS
1658,CZKJ,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,2018-02-02,603516.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,淳中科技,CS
1659,GMRY,MainBoard,0000-00-00,XSHG,C14,食品制造业,2002-08-28,600597.XSHG,100.0,ConsumerStaples,必需消费品,Normal,Active,光明乳业,CS
1660,FLDZ,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,2002-12-10,600563.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,法拉电子,CS
1661,TGYY,GEM,0000-00-00,XSHE,Q83,卫生,2012-08-17,300347.XSHE,100.0,HealthCare,医疗保健,Normal,Active,泰格医药,CS
1662,DFJS,SMEBoard,0000-00-00,XSHE,L72,商务服务业,2017-07-31,002889.XSHE,100.0,Industrials,工业,Normal,Active,东方嘉盛,CS
1663,TQGF,SMEBoard,0000-00-00,XSHE,C34,通用设备制造业,2004-06-29,002009.XSHE,100.0,Industrials,工业,Normal,Active,天奇股份,CS
1664,ZSJR,SMEBoard,0000-00-00,XSHE,C22,造纸及纸制品业,2010-11-25,002511.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,中顺洁柔,CS
1665,RADC,MainBoard,0000-00-00,XSHE,K70,房地产业,1993-08-06,000517.XSHE,100.0,Financials,金融,Normal,Active,荣安地产,CS
1666,TAT,SMEBoard,0000-00-00,XSHE,C27,医药制造业,2010-06-18,002433.XSHE,100.0,HealthCare,医疗保健,Normal,Active,太安堂,CS
1667,XJZH,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,1996-02-15,600888.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,新疆众和,CS
1668,SZRZ,GEM,0000-00-00,XSHE,I65,软件和信息技术服务业,2016-12-23,300579.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,数字认证,CS
1669,JLAD,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-10-28,000623.XSHE,100.0,HealthCare,医疗保健,Normal,Active,吉林敖东,CS
1670,DQTL,MainBoard,0000-00-00,XSHG,G53,铁路运输业,2006-08-01,601006.XSHG,100.0,Industrials,工业,Normal,Active,大秦铁路,CS
1671,AGLS,SMEBoard,0000-00-00,XSHE,I64,互联网和相关服务,2011-09-29,002619.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,艾格拉斯,CS
1672,SWGF,SMEBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,2012-05-25,002676.XSHE,100.0,Materials,原材料,Normal,Active,顺威股份,CS
1673,DFCF,GEM,0000-00-00,XSHE,I64,互联网和相关服务,2010-03-19,300059.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,东方财富,CS
1674,TSZY,SMEBoard,0000-00-00,XSHE,F51,批发业,2017-05-19,002872.XSHE,100.0,HealthCare,医疗保健,Normal,Active,天圣制药,CS
1675,KCXX,GEM,0000-00-00,XSHE,I65,软件和信息技术服务业,2017-12-05,300730.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,科创信息,CS
